pubkey,idebt_ratio,idebt_loaded,idebt_depth,idebt_agents,trustrank,in_degree,endorsement_count
1ea04ae2f166d83a7b39cbcd1650ca5a5da32fabb7b93131de19cb98c7d421ed,1.629123e-05,1,2,1,4.293068e-04,1,1
1f290ae9c9e5cf4dfd050f7168c72ac953657bf5fe1ff816801616f65d35a315,1.629123e-05,1,2,1,4.293068e-04,1,1
1f7293794f66a723514f2583ecfba7012b452dc8cdf3fe87063c11c79b46d255,2.329085e-08,1,3,1,2.191735e-06,1,1
1f83fe7cad8bf2c85b8ec792a367e9b3ee82ba3e0a6740d8fff1d8f896ecc0d6,2.096177e-08,1,4,1,1.859000e-06,1,1
201fb116cca8d40efcc75d07c7c2755d9bbc7412f0939b318b61a91ee847c643,1.629123e-05,1,2,1,4.293068e-04,1,1
20890bf1fd58c1cd649a0fbd9f524819b561fde675e6b0a7c26437fdb1abe169,7.453073e-06,1,2,1,1.881699e-04,1,1
20dbc0d17c26f40de77ed99ddb0d8f4b43ff4bbf9db269e12c3624a4a8f0a37d,8.936452e-06,1,2,1,4.851167e-04,1,1
20e6f87a8099c7ab9d65dc3fbf3a292269203faca1d68cd630c691be07c8f152,1.497269e-09,1,4,1,6.639285e-08,1,1
20eb1eeedffdb625a08d06eff726fcf70b7b9500df837e056e4cbad5fe86eb7a,1.629123e-05,1,2,1,4.293068e-04,1,1
2273471a11d90fc3c8987c72a4fe8a29a1e5dc57f980102de7c3b637bccb2c73,7.453073e-06,1,2,1,1.881699e-04,1,1
22ed78d93ed23c8a3a9d24203137bd5b34e51059371f78649f56e883bffbe0a3,7.453073e-06,1,2,1,1.881699e-04,1,1
23008b2f750bba297bd41ba686cf535879d00ce473a4900fb9c577b515b08131,7.453073e-06,1,2,1,1.881699e-04,1,1
2311d514448a6eff9e2f03b63323e68ceec302a8db909935e48734aa63b17956,7.453073e-06,1,2,1,1.881699e-04,1,1
23abb1e61fab1ffdca33f9778d7dc8694d9a356f7e40b1b7810a752c646532ed,8.219084e-03,1,1,1,5.708264e-02,0,0
23b458d0e20f4f58af2cf4bf9f53115a926fcada65b9b917b65ffc99b95c9dad,1.629123e-05,1,2,1,4.293068e-04,1,1
23cd30da5c9ed27d749239041d6cd26b2248d2bf0759ff5011272f762087296f,3.726537e-06,1,2,1,1.881699e-04,1,1
23f64488ac18fe90022030065b0b61e0bcba5e76b3b7bc2fd2e7d2ef726c7b90,3.726537e-06,1,2,1,1.881699e-04,1,1
251f70fbc20c0926415b1eb7151fa81f0b8f85aa6a9ad88d203d4997c24c7d80,1.787290e-05,1,2,1,4.851167e-04,1,1
2521b0b2d58f475b9490de0e47ef63ef7f960ecfe795847c8a894b74d4831e06,7.453073e-06,1,2,1,1.881699e-04,1,1
26068c534812bd2f58dff0205e40fc74c3301d8011e6153801b0a131e4ad42df,1.787290e-05,1,2,1,4.851167e-04,1,1
26cc4e029f90ec89747e3846fd1577572a276a90040a59bc82d4cde4d4e24fc1,1.629123e-05,1,2,1,4.293068e-04,1,1
271c97594c922c8bf755a1f3d037470804d60d80ed7067c1fb416722c2de3a05,1.787290e-05,1,2,1,4.851167e-04,1,1
276dccafc20fbacd5ffb032e20385706ea8f86e42d5876c017e250cf30a37083,2.329085e-08,1,3,1,2.191735e-06,1,1
27b9f209445b87c02e999a334813e99258442390710e69f5c170e28e57e95ea7,1.629123e-05,1,2,1,4.293068e-04,1,1
27e04bc49ce0deffa6889bfc336c863fec39a0e59be2bb8dfbc8eca8a8cf2ab3,1.629123e-05,1,2,1,4.293068e-04,1,1
2839d1e9620f684a0005a0ba80aba764513899c6b25e2c5bfad5a25861ade8ec,1.787290e-05,1,2,1,4.851167e-04,1,1
29cea114fe0e7e4eb5178b6f87af0817024ec541e95b9a24b0e1926d609c1f03,2.484358e-06,1,2,1,3.763397e-04,1,2
2a6683923dcbd9810ef4e5debda8c4152c297b12303e286622bbbb0ed1884384,2.102559e-03,1,1,1,5.708264e-02,0,0
2a800318f12ae4d712e2c96b71bb7bf4f733d6f9940649a2e8445467e334c3ab,1.787290e-05,1,2,1,4.851167e-04,1,1
2a98d17743fa6af5199e3224af0c2f93a262dcc95f71c6df39d3be1303f1df4b,1.629123e-05,1,2,1,4.293068e-04,1,1
2ab0d78ebcd834113e420eb4c558ed0d1d2120ea62cf24c7fddf62d879b33a3d,6.335112e-08,1,3,1,2.329439e-06,2,3
2b406b28434cdc531c7d2e3a9d6e5e96e29ae7a70bb523d8b74e0fc905f262ca,6.707766e-06,1,3,1,1.599966e-04,1,1
2b715c63be1ab4a27d24271cc38b8b27167381ee6c263d307d35dafb28d989d5,1.497269e-09,1,4,1,6.639285e-08,1,1
2c1213f5d346d68ba46c72c50f7349ec381b5b3708aabc912d3b6a1b9acec048,1.863268e-05,1,2,1,3.481665e-04,2,2
2c79957ccb70d044362b1a56823f56f9871c5acd6509685f0815d40a11918443,1.539729e-05,1,2,1,2.012161e-05,1,2
2cebd081cf3c8c6580d9d2f85f7ebac6d31db64bfee9aa60eb96ac9eb5c92136,4.124516e-07,1,3,1,1.006080e-05,1,1
2db4245e00dfe5437be262335c26a4692d6e208d5c29824a2591c469664cf8e9,7.453073e-06,1,2,1,1.881699e-04,1,1
2e298b66815344d020d78b9f11967609a6e0d0022cd9e5c5fc557269fbf74495,1.787290e-05,1,2,1,4.851167e-04,1,1
2ecea2ccffcdeabf6bcf37bd11be97a70ac3d89c7f0f75903e6253270e6357ef,1.676941e-09,1,4,1,6.885185e-08,1,1
2f14a74e52e3d52351527a2d9b0bacfd40eb0ac4d3857ecf31fda153ba0aab94,7.453073e-06,1,2,1,1.881699e-04,1,1
2f385bf963b9d9d0873045cb4f658b0d47b6c2fdbdbb75b47c719f71810bd4ba,1.787290e-05,1,2,1,4.851167e-04,1,1
30abfa52aa65e4ba04c227bb0abd9d5aae0cbfc54f88c7c8cc94d913c342ddb7,7.453073e-06,1,2,1,1.881699e-04,1,1
30cbec4c0c903285bf84e41c5f85e889a1da373f1688b1e5a136123c784d191c,7.453073e-06,1,2,1,1.881699e-04,1,1
3111fc3e5b52b2b856c05c08396295953d0163341deb2d3a867286675e123221,1.629123e-05,1,2,1,4.293068e-04,1,1
319467298c945ef87f44cc75996131f56376218719987883352233b7b13818d1,1.787290e-05,1,2,1,4.851167e-04,1,1
31ac66587dc8ad5e01aba56125dbc7dbf6700869aa8f61f1195fe782769d53c8,7.453073e-05,1,2,1,0.000000e+00,0,0
31ae905ee5f8df8540db6eabc8771b64ee10d02f75ba1542b923baeb1b0a2fdc,7.851053e-06,1,2,1,1.006080e-05,1,1
31f4021432cdca053fd70ec60bbc0d9f59fea961ba711d021c574527df0fec6f,1.676941e-09,1,4,1,6.885185e-08,1,1
324814c8435d2dd10c68db42e7f3a6703a9cc9830a65ee5a7e1cda0800442ea8,6.453602e-07,1,3,1,1.006080e-05,1,1
32e32133165650982dc9b27976b86f651f11e2f6af092b12eee44e13a0f5742e,7.453073e-06,1,2,1,1.881699e-04,1,1
33287ee9ef58c92714736e261007e782882b66513f6a3ddcbc25b91cf2911c65,1.497269e-09,1,4,1,6.639285e-08,1,1
3401f53644df5dec2f5ce2b5fac06745f0bf3fc4bd26605c777ffdd5d44b2744,1.497269e-09,1,4,1,6.639285e-08,1,1
34152fa465c59b829f75b0ad8dbf2882d2501ad6d0d568093a5c85b3a75a8135,4.658171e-08,1,3,1,2.191735e-06,1,1
34316b2ebef9bb94410a569f455c692298682777346cd430041d460b255dd19c,1.787290e-05,1,2,1,4.851167e-04,1,1
345e0873e26dd0b69f04374ecfba94d9ece835079649349462c1bc8b09fda23d,7.453073e-06,1,2,1,1.881699e-04,1,1
